﻿
№;Артикул;Название;Количество;Цена(RUB);Прибыль;Сумма;Получатель;Кладовщик;Дата
26;AS-9012;Салфетки антисептические ""WipeSafe"" 100шт;-38;0,00;-12160,00;0,00;Списание;- - -;19.04.2026 02:33
27;MO-5003;Масло моторное ""SynthOil"" 0W-20 4л;-15;0,00;-42000,00;0,00;Списание;- - -;19.04.2026 02:19
28;OIL-FILTER-001;Фильтр масляный;20;700,00;7000,00;14000,00;АвтоРесурс-Юг;Павлова Светлана Евгеньевна;19.04.2026 01:43
29;OIL-FILTER-001;Фильтр масляный;-90;0,00;-31500,00;0,00;Брак;Павлова Светлана Евгеньевна;19.04.2026 01:08
30;FIL-3002;Фильтр воздушный ""FilterUnion"" (универсальный);6;900,00;2700,00;5400,00;Западный Склад;Павлова Светлана Евгеньевна;18.04.2026 04:58
31;FIL-3004;Фильтр салонный обычный ""FilterUnion"";4;363,64;0,00;1454,56;Дизель-Холл;Админов Алексей Владимирович;18.04.2026 04:42
32;CL-1202;Антифриз G11 ""CoolantRed"" красный 1л;3;300,00;0,00;900,00;FilterUnion;Админов Алексей Владимирович;17.04.2026 16:47
33;BAT-1004;Аккумулятор ""StartPower"" 6СТ-55 (55 Ач);-26;0,00;-15166,58;0,00;Списание;- - -;17.04.2026 16:36
34;BAT-1004;Аккумулятор ""StartPower"" 6СТ-55 (55 Ач);4;583,33;0,00;2333,32;StopMaster;Админов Алексей Владимирович;17.04.2026 16:30
35;CL-1201;Антифриз G11 ""CoolantRed"" красный 5л;11;545,45;0,00;5999,95;Городской Таксомоторный Парк №1;Павлова Светлана Евгеньевна;17.04.2026 12:54
36;AS-9009;Антисептик для рук ""TravelSafe"" дорожный 50мл;-79;0,00;-7900,00;0,00;Списание;- - -;17.04.2026 12:42
37;AS-9009;Антисептик для рук ""TravelSafe"" дорожный 50мл;8;100,00;0,00;800,00;Логистик-Авто Трейд;Админов Алексей Владимирович;17.04.2026 12:30
38;FIL-3001;Фильтр масляный ""FilterUnion"" (универсальный);4;400,00;0,00;1600,00;СпецТрансКомплект;Админов Алексей Владимирович;17.04.2026 12:23
39;FIL-3001;Фильтр масляный ""FilterUnion"" (универсальный);3;363,64;0,00;1090,92;Логистик-Авто Трейд;Админов Алексей Владимирович;17.04.2026 12:18
40;TR-1105;Лента буксировочная ""DynamicStrap"" 4т 5м;2;727,27;0,00;1454,54;Мотор-Лайн;Админов Алексей Владимирович;17.04.2026 10:26
41;TR-1101;Трос буксировочный ""TowRope"" 3т 3м;3;600,00;0,00;1800,00;Северный Импорт;Админов Алексей Владимирович;17.04.2026 10:26
42;TR-1105;Лента буксировочная ""DynamicStrap"" 4т 5м;5;700,00;0,00;3500,00;АвтоРесурс-Юг;Админов Алексей Владимирович;17.04.2026 10:10
43;BAT-1001;Аккумулятор ""EnergyCore"" 6СТ-60 (60 Ач);3;333,33;0,00;999,99;АвтоРесурс-Юг;Админов Алексей Владимирович;17.04.2026 10:10
44;vvv1;wvw;12;258,00;0,00;3096,00;StopMaster;Админов Алексей Владимирович;17.04.2026 08:51
45;AIR-FILTER-002;Фильтр воздушный;25;900,00;11250,00;22500,00;АвтоРесурс-Юг;Павлова Светлана Евгеньевна;17.04.2026 00:12
46;tst;ttt;45;486,00;0,00;21870,00;Логистик-Авто Трейд;Админов Алексей Владимирович;17.04.2026 00:09
47;BRAKE-PAD-001;Колодки тормозные передние;20;1200,00;0,00;24000,00;Дизель-Холл;Админов Алексей Владимирович;17.04.2026 00:09
48;AIR-FILTER-002;Фильтр воздушный;30;450,00;0,00;13500,00;Мотор-Лайн;Админов Алексей Владимирович;17.04.2026 00:09
49;OIL-FILTER-001;Фильтр масляный;50;350,00;0,00;17500,00;СпецТрансКомплект;Админов Алексей Владимирович;17.04.2026 00:09
50;BRK-2006;Скоба суппорта передняя ""StopMaster"";5;3700,00;0,00;18500,00;Дизель-Холл;Админов Алексей Владимирович;16.04.2026 10:45
51;tst;ttt;30;479,00;0,00;14370,00;StopMaster;Админов Алексей Владимирович;16.04.2026 00:33
52;tst;ttt;40;472,00;0,00;18880,00;StopMaster;Админов Алексей Владимирович;16.04.2026 00:30
53;AS-9003;Антисептик для рук SanitizePro спрей 150мл;-20;0,00;-3600,00;0,00;Списание;- - -;16.04.2026 00:23
54;BAT-1001;Аккумулятор EnergyCore 6CT-60 (60 Ah);-10;0,00;-59000,00;0,00;Списание;- - -;16.04.2026 00:23
55;CL-1201;Антифриз G11 CoolantRed красный 5л;-25;0,00;-5250,00;0,00;Списание;- - -;15.04.2026 23:57
56;vvv;wvw;4;357,00;0,00;1428,00;АвтоРесурс-Юг;Админов Алексей Владимирович;15.04.2026 22:51
57;bla;blabla;4;147,00;0,00;588,00;FilterUnion;Админов Алексей Владимирович;15.04.2026 22:47
58;vvv;wvw;12;258,00;0,00;3096,00;EnergyCore;Админов Алексей Владимирович;15.04.2026 22:45
59;bla;blabla;2;267,00;0,00;534,00;EnergyCore;Админов Алексей Владимирович;15.04.2026 22:38
60;AIR-FILTER-002;Фильтр воздушный;30;450,00;0,00;13500,00;Мотор-Лайн;Админов Алексей Владимирович;15.04.2026 22:26
61;BRAKE-PAD-001;Колодки тормозные передние;20;1200,00;0,00;24000,00;Дизель-Холл;Админов Алексей Владимирович;15.04.2026 22:26
62;OIL-FILTER-001;Фильтр масляный;50;350,00;0,00;17500,00;СпецТрансКомплект;Админов Алексей Владимирович;15.04.2026 22:26
63;OIL-FILTER-001;Фильтр масляный;50;350,00;0,00;17500,00;Не указан;Админов Алексей Владимирович;15.04.2026 22:02
64;AIR-FILTER-002;Фильтр воздушный;30;450,00;0,00;13500,00;Не указан;Админов Алексей Владимирович;15.04.2026 22:02
65;BRAKE-PAD-001;Колодки тормозные передние;20;1200,00;0,00;24000,00;Не указан;Админов Алексей Владимирович;15.04.2026 22:02
66;OIL-FILTER-001;Фильтр масляный;50;350,00;0,00;17500,00;Не указан;Админов Алексей Владимирович;15.04.2026 21:47
67;BRAKE-PAD-001;Колодки тормозные передние;20;1200,00;0,00;24000,00;Не указан;Админов Алексей Владимирович;15.04.2026 21:47
68;AIR-FILTER-002;Фильтр воздушный;30;450,00;0,00;13500,00;Не указан;Админов Алексей Владимирович;15.04.2026 21:47
69;OIL-FILTER-001;Фильтр масляный;50;350,00;0,00;17500,00;Не указан;Админов Алексей Владимирович;15.04.2026 21:24
70;AIR-FILTER-002;Фильтр воздушный;30;450,00;0,00;13500,00;Не указан;Админов Алексей Владимирович;15.04.2026 21:24
71;BRAKE-PAD-001;Колодки тормозные передние;20;1200,00;0,00;24000,00;Не указан;Админов Алексей Владимирович;15.04.2026 21:24
72;bla;blabla;14;287,00;0,00;4018,00;Не указан;Админов Алексей Владимирович;13.04.2026 01:41
73;bla;blabla;15;147,00;0,00;2205,00;Не указан;Админов Алексей Владимирович;13.04.2026 01:20
74;AS-9006;Антисептик для рук ""EcoPure"" без запаха 1л;-1;0,00;-590,00;0,00;Списание;- - -;11.04.2026 02:19
75;SW-6007;Жидкость стеклоомывающая ""FreshWash"" (-15°) с ароматом 5л;-1;0,00;-450,00;0,00;Списание;- - -;11.04.2026 02:19
76;AS-9006;Антисептик для рук ""EcoPure"" без запаха 1л;-19;0,00;-11210,00;0,00;Списание;- - -;09.04.2026 14:35
77;SW-6007;Жидкость стеклоомывающая ""FreshWash"" (-15°) с ароматом 5л;-19;0,00;-8550,00;0,00;Списание;- - -;09.04.2026 14:35
78;FR-7011;Ароматизатор ""EliteScent"" диффузор с эфирными маслами;2;900,00;900,00;1800,00;АвтоРесурс-Юг;Павлова Светлана Евгеньевна;09.04.2026 12:27
79;FR-7007;Ароматизатор ""Caroma"" подвесной лаванда;6;640,00;1920,00;3840,00;Северный Импорт;Павлова Светлана Евгеньевна;09.04.2026 11:59
80;CL-1202;Антифриз G11 ""CoolantRed"" красный 1л;2;440,00;440,00;880,00;АгроТехСервис;Павлова Светлана Евгеньевна;08.04.2026 20:55
81;BAT-1003;Аккумулятор ""EnergyCore"" Silver (90 Ач, AGM);3;25000,00;37500,00;75000,00;АгроТехСервис;Павлова Светлана Евгеньевна;08.04.2026 20:55
